Country,FOI,GDP_pc,Investment,Internet,Education
Australia,1.4825620122687455,59633.002348525704,23.21903998969064,95.87622,108.69523773193359
Austria,1.595254081681591,52233.465024204095,26.81199106218306,91.35191999999999,91.03284301757813
Brazil,1.4032850693128416,8747.09733461259,17.000672815493623,80.12468,56.10452842712402
Canada,1.5288370661125221,50650.89990221688,23.84715305567762,93.22128000000001,76.65492706298826
China,2.4401249566122876,11955.9168713653,42.28186316109286,74.67963999999999,66.24188302444342
France,1.6556262947804559,41798.40469361652,23.2456406966303,85.26226,69.70164642333984
Germany,1.8145668492594846,50536.720795407906,22.21072865680054,90.69684000000001,75.34409790039065
India,1.3302877763289565,2213.130720833126,31.623194530983785,42.94296666666667,31.22838627199898
Italy,1.6779973841011484,35537.561203448204,21.188028572079578,77.05698000000001,71.10659942626951
Japan,1.4017944116893104,37688.2140881148,25.959236437699083,87.55378,63.38893203735351
South Africa,1.353667396625016,6302.318410892263,14.41306331012376,73.57862,22.884624437251563
South Korea,2.153799549939415,35097.53613027316,32.08601731005266,96.96372,100.15155792236337
Spain,1.5151258392273723,30326.53321388234,21.4440089756583,93.55058,92.9617889404297
United Kingdom,1.483314764941707,45732.86218293193,18.60284556325808,95.2258,74.35911712646484
United States,1.61006718544032,71231.39235533618,21.8780711979545,91.27788000000001,84.9183464050293
Mexico,1.5163925300239003,10958.326121889157,22.15148184841332,75.31284,45.54820480346678
Indonesia,1.1798108937234357,4370.993436555921,31.5320654423851,59.84292000000001,40.66496248717902
Singapore,1.542777043335259,76625.90915855087,22.95674998473724,93.62348,95.32670982287628
Thailand,1.3938311160335606,7150.600438455776,25.31162268654458,81.45564,43.95655263502199
Poland,1.6091565439951712,18339.48824114378,20.21713524850302,84.4703,73.25122375488283
Netherlands,1.6066245133997885,57960.74764323186,21.64952653547572,93.24028,87.10692342122398
Sweden,1.7453248237228618,54930.455562535055,25.27081317319504,94.88322000000001,81.09490814208985
Switzerland,1.5332389666852029,91740.50986830666,26.59531965437828,95.37252,70.88593597412111
Portugal,1.5967460950187498,24521.87127642544,20.198481433203558,81.24082,71.90209655761717
Norway,1.7147014834876106,86922.04762158294,26.29678786184794,97.92152,91.91111602783204
Denmark,1.7728193135950472,65111.02583364265,23.40583769556788,98.01942,82.83172760009765
Finland,1.6639519359145527,50712.17050078182,24.91760661195426,92.2177,101.00089111328138
Belgium,1.6340630336904205,50035.674748824094,25.159462802730538,92.64492,81.44269866943361
Ireland,1.524248048692663,96826.95777325779,33.77351072725818,93.70829999999998,76.31070137023929
Malaysia,1.4893400382345605,10984.285835260585,21.844001641402603,93.11695999999999,38.60055077957984
